date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738360860,229.86,230.02,229.72,229.98,2008.0,,,False,False,False,,False,,False,,False,,False,
1738360920,229.98,230.1,229.77,229.86,2545.7,,,False,False,False,,False,,False,,False,,False,
1738360980,229.86,230.15,229.85,229.87,1503.8,,,False,False,False,,False,,False,,False,,False,
1738361040,229.87,229.98,229.84,229.96,1853.0,,,False,False,False,,False,,False,,False,,False,
1738361100,229.96,229.96,229.62,229.76,1058.3,,,False,False,False,,False,,False,,False,,False,
1738361160,229.76,229.87,229.6,229.63,1958.6,,,False,False,False,,False,,False,,False,,False,
1738361220,229.63,229.83,229.6,229.74,1400.7,,,False,False,False,,False,,False,,False,,False,
1738361280,229.74,229.87,229.71,229.71,1290.0,,,False,False,False,,False,,False,,False,,False,
1738361340,229.71,229.72,229.44,229.71,3002.5,,,False,False,False,,False,,False,,False,,False,
1738361400,229.71,230.11,229.71,230.11,1939.7,,,False,False,False,,False,,False,,False,,False,
1738361460,230.11,230.22,230.05,230.05,5361.8,,,False,False,False,,False,,False,,False,,False,
1738361520,230.05,230.11,229.91,229.92,2306.5,,,False,False,False,,False,,False,,False,,False,
1738361580,229.92,229.92,229.59,229.7,4175.0,,,False,False,False,,False,,False,,False,,False,
1738361640,229.7,229.8,229.69,229.72,9477.1,,,False,False,False,,False,,False,,False,,False,
1738361700,229.72,229.77,229.52,229.77,1451.0,,,False,False,False,,False,,False,,False,,False,
1738361760,229.77,229.79,229.55,229.59,3828.0,,,False,False,False,,False,,False,,False,,False,
1738361820,229.59,229.64,229.45,229.59,1423.6,,,False,False,False,,False,,False,,False,,False,
1738361880,229.59,229.7,229.47,229.49,1112.5,,,False,False,False,,False,,False,,False,,False,
1738361940,229.49,229.67,229.43,229.67,2284.7,,,False,False,False,,False,,False,,False,,False,
1738362000,229.67,229.85,229.55,229.85,474.1,,,False,False,False,,False,,False,,False,,False,
1738362060,229.85,230.03,229.73,229.93,1165.1,,,False,False,False,,False,,False,,False,,False,
1738362120,229.93,230.07,229.93,230.04,1095.4,,,False,False,False,,False,,False,,False,,False,
1738362180,230.04,230.08,230.04,230.08,368.1,,,False,False,False,,False,,False,,False,,False,
1738362240,230.08,230.22,230.08,230.16,2113.8,,,False,False,False,,False,,False,,False,,False,
1738362300,230.16,230.45,230.16,230.41,3071.5,,,False,False,False,,False,,False,,False,,False,
1738362360,230.41,230.66,230.38,230.52,9888.9,,,False,False,False,,False,,False,,False,,False,
1738362420,230.52,230.58,230.46,230.54,1639.5,,,False,False,False,,False,,False,,False,,False,
1738362480,230.54,230.75,230.53,230.72,1620.6,,,False,False,False,,False,,False,,False,,False,
1738362540,230.72,230.85,230.72,230.8,2095.8,,,False,False,False,,False,,False,,False,,False,
1738362600,230.8,230.99,230.79,230.89,3045.8,,,False,False,False,,False,,False,,False,,False,
1738362660,230.89,230.97,230.82,230.96,1000.3,,,False,False,False,,False,,False,,False,,False,
1738362720,230.96,230.96,230.76,230.8,3073.3,,,False,False,False,,False,,False,,False,,False,
1738362780,230.8,230.81,230.52,230.64,3606.8,,,False,False,False,,False,,False,,False,,False,
1738362840,230.64,230.85,230.63,230.78,1528.5,,,False,False,False,,False,,False,,False,,False,
1738362900,230.78,231.1,230.74,231.0,2537.5,,,False,False,False,,False,,False,,False,,False,
1738362960,231.0,231.18,231.0,231.1,2656.1,,,False,False,False,,False,,False,,False,,False,
1738363020,231.1,231.21,231.1,231.2,1919.6,,,False,False,False,,False,,False,,False,,False,
1738363080,231.2,231.43,231.18,231.32,3668.4,,,False,False,False,,False,,False,,False,,False,
1738363140,231.32,231.49,231.32,231.42,3025.0,,,False,False,False,,False,,False,,False,,False,
1738363200,231.42,231.42,231.24,231.27,6060.9,,,False,False,False,,False,,False,,False,,False,
1738363260,231.27,231.33,231.04,231.27,3150.5,,,False,False,False,,False,,False,,False,,False,
1738363320,231.27,231.48,231.24,231.47,1943.7,,,False,False,False,,False,,False,,False,,False,
1738363380,231.47,231.52,231.46,231.49,1034.9,,,False,False,False,,False,,False,,False,,False,
1738363440,231.49,231.6,231.49,231.59,2261.0,,,False,False,False,,False,,False,,False,,False,
1738363500,231.59,231.73,231.59,231.7,1979.3,,,False,False,False,,False,,False,,False,,False,
1738363560,231.7,231.71,231.48,231.53,2021.8,,,False,False,False,,False,,False,,False,,False,
1738363620,231.53,231.63,231.04,231.1,3673.9,,,False,False,False,,False,,False,,False,,False,
1738363680,231.1,231.12,230.64,230.72,3877.4,,,False,False,False,,False,,False,,False,,False,
1738363740,230.72,231.1,230.72,230.92,3393.8,,,False,False,False,,False,,False,,False,,False,
1738363800,230.92,231.0,230.74,230.74,1639.2,,,False,False,False,,False,,False,,False,,False,
1738363860,230.74,230.77,230.45,230.54,5660.1,,,False,False,False,,False,,False,,False,,False,
